"Climate Finance" "Financial resources used to support activities that reduce greenhouse gas emissions and/or increase resilience to climate change"
"Provided and Mobilised" "Refers to the two main ways in which climate finance is delivered. Provided finance is finance that is directly provided by a donor country to a recipient country. Mobilised finance is finance that is leveraged by a donor country from other sources, such as the private sector"
"Disaggregated Analysis" "A type of analysis"
"Neural Network" "A type of artificial intelligence system modeled after the human brain, composed of interconnected nodes that process information and learn from experience"
"Supervised Learning" "A type of machine learning algorithm in which the model is trained using labeled data and feedback from a teacher"
Model "A simplified representation of a system or process, used to analyze and predict its behavior"
"USD  Billion Goal" "A goal set by developed countries to provide and mobilize $ billion in climate finance by"
"Developed Countries" "Countries with a high level of economic development, typically measured by gross domestic product (GDP) per capita"
"Secretary-General of the OECD" "The highest ranking official of the Organisation for Economic Co-operation and Development (OECD), an intergovernmental economic organization of  member countries"
"Golan Heights" "A region in southwestern Syria, occupied by Israel since"
"East Jerusalem" "A part of Jerusalem that was annexed by Israel in  and is considered by the international community to be part of the Palestinian territories"
"Israeli settlements" "Israeli civilian communities built on land occupied by"
"Conference of Parties (COP)" "A meeting of the parties to the United Nations Framework Convention on Climate Change (UNFCCC) to assess progress in dealing with climate change"
UNFCCC "United Nations Framework Convention on Climate Change"
"Cancun Agreements" "A set of agreements adopted at the th Conference of Parties (COP)"
Mobilised "To bring together and coordinate resources for a particular purpose"
Mitigation "Actions taken to reduce or prevent the emission of greenhouse gases"
Adaptation "Actions taken to reduce the negative impacts of climate change"
"Small Island Developing States (SIDS)" "A group of small island countries that share similar sustainable development challenges, including small but growing populations, limited resources, remoteness, susceptibility to natural disasters, and vulnerability to external shocks"
" Climate Finance" "Money used to fund projects and programs that help reduce the effects of climate change"
" Mobilising Private Finance" "Encouraging private investors to provide money for projects and programs that help reduce the effects of climate change"
" Co-Financing" "A form of financing in which two or more parties provide funds for a project"
" Credit Lines" "A type of loan that allows a borrower to access funds Figure  . Public climate finance financial instrument split in  - (%)    Figure  . Climate theme across public climate finance financial instruments in  - (%)    Figure  . Public climate finance financial instrument split across regions and income groups in  - (%)    Figure  . Mobilised private climate finance by recipient country grouping in  - (%)    Figure  . Mobilised private climate finance by sector in  - (%)"
Vulnerability "The degree to which a system is susceptible to, or unable to cope with, adverse effects of climate change, including climate variability and extremes"
"Concessionality Level" "The degree to which a loan is subsidized, with a higher level of concessionality indicating a higher degree of subsidy"
"Cross-cutting Climate Finance" "Climate finance that is not specifically allocated to mitigation or adaptation, but can be used for either"
"Cross-Cutting Activities" "Activities that are related to both mitigation and adaptation"
"Mobilised Private Climate Finance" "Money from private sources that is used to fund climate-related activities"
Bilateral "Relating to or involving two parties or sides"
Multilateral "Involving three or more parties or sides"
MDBs "Multilateral Development Banks, organizations that provide financial and technical assistance to developing countries"
"Cross-Cutting Finance" "Finance that is not specifically targeted to a particular sector, but instead is used to support a variety of sectors"
"Mitigation Finance" "Money provided to reduce emissions of greenhouse gases and other activities that reduce the impacts of climate change"
"Adaptation Finance" "Financial resources used to reduce the vulnerability of communities and ecosystems to climate change"
OECD "Organisation for Economic Co-operation and Development"
"Lower-Income Countries (LICs)" "Countries with a low gross national income (GNI) per capita"
SIDS "Small Island Developing States, a group of small island countries that are particularly vulnerable to the effects of climate change"
LDCs "Least Developed Countries. A group of countries that are the poorest and least developed in the world"
COe "Carbon dioxide equivalent, a measure used to compare the emissions from various greenhouse adaptation projects tend to be more complex and require more time to develop"
NDCs "Nationally Determined"
"Paris Agreement" "An international agreement within the United Nations Framework Convention on Climate Change ("
"UNFCCC Standing Committee on Finance" "A committee of the United Nations Framework Convention on Climate Change (UNFCCC) that provides advice on the financial resources needed to implement the Convention and the Paris Agreement"
"Early Warning System" "A system that provides alerts to people in the path of a potential hazard, such as a natural disaster"
"Thematic Split" "The division of a topic into its component parts"
"Least Developed Countries (LDCs)" "A group of countries that have been identified by the"
"Notre Dame-Global Adaptation Index (ND-GAIN)" "A measure of a country's vulnerability to climate change, based on a set of sub-indicators that capture different aspects of vulnerability"
"Physical Vulnerability to Climate Change Index (PVCCI)" "A measure of a country's vulnerability to climate change, based on a set of sub-indicators that capture different aspects of vulnerability"
Loans "A sum of money borrowed by one party from another with the expectation of repayment"
"Public finance instruments" "Financial mechanisms used by public finance providers to mobilise private finance"
"Bilateral public finance" "Financial assistance provided by one country to another"
"Multilateral public finance" "Financial assistance provided by multiple countries to a single country"
"Climate funds" "Funds established to finance activities related to climate change"
"Development finance institutions" Institutions
Concessional "A loan extended to a borrower on more preferential terms than those available on the market, such as below-market interest rates, extended grace periods, or a combination of both"
Non-concessional "A loan that is financially sustainable solely based on the lender's low cost of funding and preferred creditor status"
Grants "A sum of money given by one party to another without expectation of repayment"
Equity "Ownership of a company or other"
LICs "Low-Income Countries,"
"Fragile States" "Countries that are weak and vulnerable to internal or external shocks, such as"
"Public Climate Finance" "Financial instruments provided by public entities to fund climate-related activities"
"Bilateral Public Finance" "Financial instruments provided by two countries to fund climate-related activities"
"Multilateral Climate Funds" "Funds that are established by multiple countries to finance projects related to climate change"
"Public Finance Instrument" "A type of financial instrument used by governments to raise funds for public projects"
Grant "A sum of money given by a government or other organization to support a particular cause or activity"
Loan "A sum of money borrowed from a lender, to be repaid with interest"
"Borrowing Capacity" "The amount of money a person or organization can borrow"
"High-Interest Rates" "A rate of return on an investment that is higher than the average"
Mechanisms "A process or system for achieving a particular goal"
"Climate Themes" "Areas of focus related to climate change, such as renewable energy, adaptation, and mitigation"
"Provider Types" "Entities that provide"
Portfolio "A collection of investments held by an individual or organization"
"MDBs (Municipal Development Banks)" "Financial institutions that provide financing for development projects in cities and municipalities"
"Bilateral Providers" "A type of international aid where one country provides assistance to another country"
"SPVs (Special Purpose Vehicles)" "A legal entity created to fulfill a specific purpose, such as a project or a transaction"
"Project Finance" "A method of financing in which a company obtains funds from investors to finance a specific project"
"Syndicated Loan" "A loan offered by a group of lenders (called a syndicate) that work together"
"Allianz Medium-Term Country Risk Rating" "A composite indicator that captures a wide spectrum of different types of risks"
"Coface Business Climate Assessment" "A composite indicator that focuses on the business environment and risk of default"
Donors "Organizations or individuals that provide money or resources to support a cause"
"Risk Categories" "Categories used to assess the likelihood of a particular event occurring, such as the risk of default on a loan"
"Development Finance" "Money used to fund projects and activities that help reduce poverty and improve the quality of life in developing countries"
Portfolios "A collection of investments held by an individual or organization"
Instruments "A tool or device used to achieve a particular purpose"
Guarantees "Legally binding agreements under which the guarantor agrees to pay part or the entire amount due on a loan, equity or other instrument in the event of non-payment by the obligor or loss of value in case of investment"
"Syndicated Loans" "A loan"
"Credit Lines" "A type of loan that allows a borrower to access funds up to a certain limit"
"Private Investors" "Individuals or organizations that invest their own money in order to make a profit"
"Public Finance" "Money used by governments to fund public services and projects"
"Enabling Environment" "A set of conditions that allow individuals, businesses, and organizations to operate effectively"
"Private Finance" "Money used by individuals, businesses, and other non-governmental entities to fund projects and investments"
Measuring "To determine the size, amount, or degree of something"
"Measuring Effectiveness" "Assessing the ability of climate finance to meet its stated objectives"
Ownership "A principle of effective development cooperation that emphasizes the importance of local ownership and decision-making in development projects"
"Global Commission on Adaptation" "An international body established in  to accelerate action to help people and countries adapt to climate change"
"Annex I" "A list of countries that are required to reduce their emissions of greenhouse gases under the UNFCCC"
"Transparency Reports (BTRs)" "Reports that provide information on the status of activities supported by financing received, their impacts, and estimated results"
ETF "Enhanced Transparency Framework, a framework established by the UNFCCC to track and report on climate finance"
"Bilateral public climate finance" "public climate finance commitments (excluding export credits) by developed countries for developing countries"
"Multilateral public climate finance attributable to developed countries" "climate finance provided by multilateral development banks (MDBs) and multilateral climate funds to developing countries, as well as climate-specific contributions by developed countries to multilateral bodies for which climate outflow data are unavailable"
"Officially supported climate-related export credits" "financial support extended by developed"
"Developing Country" "A country with a low level of material well-being and a low Human Development Index (HDI)"
"Developed Country" "A country with a high level of material well-being and a high Human Development Index (HDI)"
"Multilateral Institutions" "Organizations that involve three or more countries in their activities"
"Private Sector" "Businesses and organizations that are owned and operated by private individuals or groups, rather than by the government"
"OECD DAC" "The Organisation for Economic Co-operation and Development's Development Assistance Committee"
"Currency Conversion" "The process of converting one currency to another"
Commitments "A promise to do something in the future"
" Loans" "A type of finance that involves borrowing money from a lender with the expectation of repaying the loan with interest"
" Grants" "A type of finance that involves providing money to a recipient without expecting repayment"
" Equity" "A type of finance that involves investing in a company or project in exchange for a share of (all in USD) and time of recording (all in the year of commitment)"
"Multilateral public climate finance" "Climate-related commitments by multilateral development banks (MDBs), multilateral climate funds and other multilateral organisations, sourced from their core resources"
